Question,Answer
how did fillmore ascend to the presidency?,official white house portrait of millard fillmorefillmore ascended to the presidency upon the sudden and unexpected death of president taylor in july 1850
how did the supporters of henry clay feel about fillmore in 1848?,they were ok with him
how did the supporters of henry clay feel about fillmore in 1848?,angry
who was first apprenticed to a fuller to learn the cloth-making trade?,millard fillmore
he founded the private university of buffalo on what date?,1846
who or what fell in love with abigail powers?,millard fillmore
was fillmore one of the founders of the university of buffalo?,yes
was another primary objective of fillmore to preserve the union from the intensifying slavery debate?,yes
"was fillmore the second chancellor, a position he maintained while both vice president and president?",no
is fillmore the first of two presidents to have been an indentured servant ?,yes
is the comic strip mallard fillmore named after the president ?,yes
was fillmore the first us president born after the death of a former president ?,yes
"did fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment  to justify the degree ?",no
"what happened in a log cabin in summerhill , new york?",fillmore was born
"who was born precisely at midnight during an electrical storm , to a serbian family in the village of smiljan near gospić , in the lika region of the croatian krajina in military frontier ( part of the austrian empire ) , in the present-day croatia  ?",nikola tesla
are there at least two films describing tesla s life ?,yes
have a number of live theatrical plays based on tesla s life been produced and staged worldwide ?,yes
how do sea otters insulate themselves?,a layer of air trapped in their fur(!)
how do sea otters insulate themselves?,"as with other species of otter, they rely on a layer of air trapped in their fur, which they keep topped up by blowing into the fur from their mouths"
why are sea otters nearly extinct?,theyve been hunted for their fur
why are sea otters nearly extinct?,"sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them"
what is one of the challenges of re-establishing a population of eurasian otters in the uk?,roadkill deaths
what is one of the challenges of re-establishing a population of eurasian otters in the uk?,roadkill deaths have become one of the significant threats to the success of their re-establishment 
how many species and genera does otter have?,13 species and 7 genera
how many species and genera does otter have?,13 species in 7 genera
what do river otters eat?,"river otters eat a variety of fish and shellfish, as well as small land mammals and birds "
what do river otters eat?,"river otters eat a variety of fish and shellfish, as well as small land mammals and birds"
where do sea otters live?,sea otters (enhydra lutris) live along the pacific coast of north america 
where do sea otters live?,the sea otter lives actually in the sea 
"where does the word ""otter"" derive from?","the word ""otter"" derives from the old english word otr, otor or oter "
"where does the word ""otter"" derive from?","the word ""otter"" derives from the old english word otr, otor or oter this and cognate words in other indo-european languages ultimately stem from a root which also gave rise to the english words ""water"", ""wet"" and ""winter"" "
does otter give birth or lay egg?,give birth
what drives sea otter almost to extinction?,humans hunted them almost to extinction 
what drives sea otter almost to extinction?,"sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction "
